Employee ID,Date of Joining,Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,Composite_Burnout_Score,Burnout_Risk_Category,Tenure_Years
fffe32003000360033003200,2008-09-30,Female,Service,No,2.0,3.0,3.8,0.16,2.92,Low Risk,15.252566735112936
fffe3700360033003500,2008-11-30,Male,Service,Yes,1.0,2.0,5.0,0.36,4.4399999999999995,Medium Risk,15.085557837097879
fffe31003300320037003900,2008-03-10,Female,Product,Yes,2.0,4.0,5.8,0.49,5.44,High Risk,15.811088295687885
fffe32003400380032003900,2008-11-03,Male,Service,Yes,1.0,1.0,2.6,0.2,2.3600000000000003,Low Risk,15.159479808350445
fffe31003900340031003600,2008-07-24,Female,Service,No,3.0,7.0,6.9,0.52,6.22,High Risk,15.43874058863792
fffe3300350037003500,2008-11-26,Male,Product,Yes,2.0,4.0,3.6,0.29,3.3200000000000003,Low Risk,15.096509240246407
fffe33003300340039003100,2008-01-02,Female,Service,No,3.0,6.0,7.9,0.62,7.220000000000001,Critical Risk,15.997262149212867
fffe32003600320037003400,2008-10-31,Female,Service,Yes,2.0,4.0,4.4,0.33,3.9600000000000004,Low Risk,15.16769336071184
fffe32003200300034003700,2008-12-27,Female,Service,No,3.0,6.0,5.9,0.56,5.34,Critical Risk,15.011635865845312
fffe31003600320030003200,2008-03-09,Female,Product,No,3.0,6.0,5.9,0.67,5.34,Critical Risk,15.813826146475018
fffe33003100330032003700,2008-03-16,Male,Product,Yes,2.0,3.0,5.3,0.5,5.18,Medium Risk,15.794661190965092
fffe3400310035003800,2008-05-12,Male,Service,Yes,0.0,1.0,1.8,0.12,1.56,Low Risk,15.638603696098563
fffe32003100300030003700,2008-01-20,Male,Service,Yes,2.0,5.0,5.9,0.4,5.34,Critical Risk,15.94798083504449
fffe31003800330032003500,2008-02-23,Female,Product,No,1.0,3.0,5.9,0.33,5.34,Critical Risk,15.854893908282
fffe33003100330036003300,2008-05-14,Male,Product,Yes,1.0,3.0,5.8,0.51,5.52,High Risk,15.633127994524298
fffe31003700350033003100,2008-02-03,Female,Service,Yes,3.0,5.0,4.7,0.32,4.1,Medium Risk,15.90965092402464
fffe33003200360037003000,2008-03-17,Male,Service,Yes,1.0,2.0,5.9,0.39,5.1000000000000005,Medium Risk,15.791923340177961
fffe31003500350030003400,2008-03-28,Male,Service,No,3.0,6.0,6.7,0.59,6.379999999999999,High Risk,15.761806981519507
fffe31003000380035003800,2008-05-29,Female,Product,Yes,2.0,4.0,4.0,0.22,3.2800000000000002,Low Risk,15.592060232717317
fffe3300350037003200,2008-06-27,Female,Service,No,3.0,5.0,5.9,0.68,5.34,Critical Risk,15.512662559890487
fffe31003300360039003000,2008-08-31,Male,Product,No,2.0,4.0,7.6,0.57,6.84,Critical Risk,15.3347022587269
fffe32003700370038003300,2008-01-15,Male,Service,Yes,1.0,3.0,6.3,0.47,5.66,High Risk,15.961670088980151
fffe31003800390035003300,2008-05-04,Male,Service,Yes,1.0,3.0,6.7,0.46,5.859999999999999,High Risk,15.66050650239562
fffe3700370035003600,2008-11-17,Female,Product,Yes,3.0,4.0,7.7,0.61,7.0600000000000005,Critical Risk,15.121149897330595
fffe3700300033003500,2008-09-14,Female,Service,No,3.0,8.0,5.9,0.91,5.34,Critical Risk,15.29637234770705
fffe3700370038003000,2008-10-09,Female,Service,Yes,3.0,4.0,5.8,0.4,5.08,Medium Risk,15.227926078028748
fffe3200340036003400,2008-10-11,Male,Service,No,2.0,4.0,6.6,0.44,5.72,High Risk,15.222450376454484
fffe3600330034003600,2008-09-18,Female,Service,No,2.0,4.0,7.4,0.6,6.840000000000001,Critical Risk,15.285420944558522
fffe31003600310031003600,2008-09-16,Female,Service,No,2.0,5.0,6.7,0.46,5.859999999999999,High Risk,15.290896646132786
fffe3400310034003500,2008-11-26,Female,Service,Yes,2.0,4.0,5.9,0.45,5.34,Critical Risk,15.096509240246407
fffe32003300340037003400,2008-05-12,Female,Product,Yes,1.0,2.0,3.6,0.2,2.96,Low Risk,15.638603696098563
fffe3500380031003000,2008-12-16,Female,Service,Yes,1.0,2.0,3.9,0.2,3.1399999999999997,Low Risk,15.041752224503764
fffe32003400340039003400,2008-10-11,Female,Service,No,0.0,1.0,3.0,0.19,2.5599999999999996,Low Risk,15.222450376454484
fffe31003500310034003800,2008-03-10,Male,Service,No,1.0,3.0,4.7,0.31,4.0600000000000005,Medium Risk,15.811088295687885
fffe32003700310030003800,2008-05-03,Male,Product,No,4.0,8.0,8.7,0.81,8.46,Critical Risk,15.663244353182751
fffe32003800300036003300,2008-08-04,Male,Service,Yes,3.0,5.0,4.4,0.39,4.2,Medium Risk,15.408624229979466
fffe390036003000,2008-07-31,Female,Service,Yes,3.0,6.0,5.8,0.42,5.16,Medium Risk,15.419575633127995
fffe32003700390039003300,2008-06-17,Female,Product,Yes,0.0,2.0,3.9,0.19,3.0999999999999996,Low Risk,15.540041067761807
fffe32003500390036003500,2008-04-28,Female,Service,Yes,3.0,7.0,6.6,0.56,6.199999999999999,High Risk,15.676933607118412
fffe33003400390030003300,2008-10-30,Female,Service,No,4.0,7.0,7.3,0.53,6.5,High Risk,15.170431211498974
fffe3200350030003300,2008-02-27,Female,Service,Yes,3.0,5.0,5.9,0.5,5.34,Critical Risk,15.84394250513347
fffe3800360036003400,2008-06-22,Female,Product,Yes,1.0,3.0,5.4,0.33,4.5600000000000005,Medium Risk,15.526351813826146
fffe33003200380030003900,2008-02-18,Male,Service,No,2.0,5.0,5.0,0.45,4.8,Medium Risk,15.868583162217659
fffe31003800370038003900,2008-06-24,Female,Service,Yes,2.0,3.0,6.0,0.36,5.039999999999999,Medium Risk,15.520876112251882
fffe31003700330031003000,2008-12-08,Female,Service,Yes,3.0,6.0,7.5,0.59,6.859999999999999,Critical Risk,15.063655030800822
fffe31003500330034003700,2008-08-05,Male,Service,Yes,2.0,3.0,5.9,0.45,5.34,Critical Risk,15.405886379192333
fffe32003300380035003700,2008-04-11,Male,Service,No,4.0,10.0,10.0,0.94,9.76,Critical Risk,15.723477070499658
fffe3500320032003000,2008-03-26,Female,Product,Yes,3.0,6.0,5.9,0.45,5.34,Critical Risk,15.767282683093772
fffe3900300031003500,2008-08-09,Female,Product,No,3.0,4.0,7.7,0.61,7.0600000000000005,Critical Risk,15.394934976043805
fffe32003700300034003600,2008-08-28,Female,Product,Yes,1.0,3.0,6.0,0.37,5.08,Medium Risk,15.342915811088295
fffe31003500390030003200,2008-03-21,Male,Service,No,2.0,6.0,7.4,0.65,7.040000000000001,Critical Risk,15.780971937029431
fffe31003500360032003800,2008-07-22,Female,Service,Yes,2.0,5.0,6.4,0.49,5.8,High Risk,15.444216290212184
fffe31003300360038003700,2008-05-20,Female,Service,No,1.0,2.0,5.1,0.45,5.34,Critical Risk,15.616700889801505
fffe32003100320039003700,2008-01-23,Male,Service,Yes,1.0,3.0,5.6,0.38,4.88,Medium Risk,15.939767282683095
fffe31003200340033003100,2008-10-09,Male,Product,No,2.0,5.0,7.4,0.62,6.920000000000001,Critical Risk,15.227926078028748
fffe33003100340034003900,2008-09-10,Female,Product,Yes,3.0,5.0,6.1,0.39,5.22,Medium Risk,15.307323750855579
fffe32003100340032003800,2008-05-26,Female,Product,Yes,2.0,4.0,3.1,0.15,2.46,Low Risk,15.600273785078713
fffe380030003100,2008-12-22,Male,Service,No,2.0,5.0,8.0,0.61,7.24,Critical Risk,15.025325119780971
fffe3900310031003800,2008-04-08,Female,Product,No,1.0,2.0,4.0,0.26,3.44,Low Risk,15.731690622861054
fffe3200390030003200,2008-12-22,Female,Service,No,2.0,2.0,3.6,0.28,3.2800000000000002,Low Risk,15.025325119780971
fffe3800370031003300,2008-02-25,Male,Product,Yes,2.0,5.0,8.7,0.71,8.059999999999999,Critical Risk,15.849418206707734
fffe3300320030003200,2008-04-24,Male,Product,No,3.0,4.0,8.0,0.68,7.5200000000000005,Critical Risk,15.68788501026694
fffe33003200310034003500,2008-01-08,Female,Service,No,3.0,5.0,6.8,0.57,6.359999999999999,High Risk,15.980835044490075
fffe32003200310030003200,2008-11-20,Female,Service,Yes,2.0,3.0,4.9,0.39,4.5,Medium Risk,15.1129363449692
fffe3300300031003100,2008-09-11,Female,Product,No,3.0,6.0,7.9,0.61,7.18,Critical Risk,15.304585900068446
fffe33003300310030003900,2008-06-11,Male,Product,No,3.0,6.0,7.6,0.62,7.04,Critical Risk,15.5564681724846
fffe31003200340034003500,2008-02-28,Female,Service,No,5.0,9.0,9.2,0.8,8.719999999999999,Critical Risk,15.841204654346338
fffe32003400320036003200,2008-05-03,Male,Service,Yes,4.0,6.0,6.5,0.63,6.42,High Risk,15.663244353182751
fffe3600330031003200,2008-08-20,Female,Service,No,3.0,5.0,6.8,0.6,6.48,High Risk,15.364818617385353
fffe31003300330034003700,2008-10-18,Female,Product,No,4.0,8.0,8.7,0.79,8.379999999999999,Critical Risk,15.203285420944558
fffe3600330032003400,2008-08-14,Male,Service,Yes,2.0,5.0,6.2,0.39,5.28,Medium Risk,15.381245722108146
fffe3500300037003900,2008-01-08,Female,Service,No,3.0,5.0,5.8,0.36,4.92,Medium Risk,15.980835044490075
fffe33003400360037003500,2008-07-17,Female,Product,No,2.0,4.0,6.6,0.5,5.959999999999999,High Risk,15.457905544147843
fffe32003500310039003700,2008-09-11,Male,Product,No,4.0,7.0,8.2,0.72,7.799999999999999,Critical Risk,15.304585900068446
fffe32003600370032003500,2008-07-05,Female,Service,Yes,2.0,3.0,4.9,0.34,4.300000000000001,Medium Risk,15.490759753593428
fffe3200350037003200,2008-02-04,Female,Service,No,1.0,2.0,4.1,0.27,3.5399999999999996,Low Risk,15.906913073237508
fffe3800390036003200,2008-08-01,Male,Service,No,3.0,7.0,7.4,0.66,7.080000000000001,Critical Risk,15.416837782340862
fffe3400390032003600,2008-05-01,Female,Product,Yes,0.0,1.0,5.9,0.04,5.34,Critical Risk,15.668720054757015
fffe33003300360032003700,2008-05-21,Male,Service,Yes,1.0,2.0,4.4,0.27,3.72,Low Risk,15.613963039014374
fffe32003600360039003700,2008-11-26,Female,Service,No,2.0,6.0,6.9,0.67,6.82,Critical Risk,15.096509240246407
fffe3200360031003700,2008-10-21,Female,Product,Yes,1.0,2.0,5.3,0.38,4.699999999999999,Medium Risk,15.195071868583161
